30.00 CONN 31 117 up
30.00 CONN 149 151 up
30.00 CONN 151 232 up
30.00 CONN 149 232 up
30.00 CONN 141 151 up
30.00 CONN 141 149 up
30.00 CONN 141 232 up
30.00 CONN 69 168 up
30.00 CONN 100 168 up
30.00 CONN 69 100 up
30.00 CONN 36 87 up
30.00 CONN 57 107 up
30.00 CONN 150 151 up
30.00 CONN 149 150 up
30.00 CONN 150 232 up
30.00 CONN 141 150 up
30.00 CONN 117 158 up
30.00 CONN 31 158 up
30.00 CONN 19 212 up
30.00 CONN 74 109 up
30.00 CONN 68 144 up
30.00 CONN 113 144 up
30.00 CONN 62 151 up
30.00 CONN 62 149 up
30.00 CONN 62 232 up
30.00 CONN 62 141 up
30.00 CONN 62 150 up
30.00 CONN 16 96 up
30.00 CONN 0 168 up
30.00 CONN 0 69 up
30.00 CONN 0 100 up
30.00 CONN 0 212 up
30.00 CONN 36 54 up
30.00 CONN 21 151 up
30.00 CONN 21 149 up
30.00 CONN 21 232 up
30.00 CONN 21 141 up
30.00 CONN 21 150 up
30.00 CONN 21 62 up
30.00 CONN 51 170 up
30.00 CONN 117 127 up
30.00 CONN 31 127 up
30.00 CONN 127 158 up
30.00 CONN 61 96 up
30.00 CONN 16 61 up
30.00 CONN 61 102 up
30.00 CONN 151 175 up
30.00 CONN 149 175 up
30.00 CONN 175 232 up
30.00 CONN 141 175 up
30.00 CONN 150 175 up
30.00 CONN 62 175 up
30.00 CONN 21 175 up
30.00 CONN 87 200 up
30.00 CONN 36 200 up
30.00 CONN 200 237 up
30.00 CONN 49 167 up
30.00 CONN 168 193 up
30.00 CONN 89 193 up
30.00 CONN 193 212 up
30.00 CONN 0 193 up
30.00 CONN 40 69 up
30.00 CONN 40 100 up
30.00 CONN 151 238 up
30.00 CONN 149 238 up
30.00 CONN 232 238 up
30.00 CONN 141 238 up
30.00 CONN 150 238 up
30.00 CONN 62 238 up
30.00 CONN 21 238 up
30.00 CONN 175 238 up
30.00 CONN 88 138 up
30.00 CONN 36 83 up
30.00 CONN 54 83 up
30.00 CONN 102 142 up
30.00 CONN 61 142 up
30.00 CONN 87 92 up
30.00 CONN 36 92 up
30.00 CONN 92 237 up
30.00 CONN 92 200 up
30.00 CONN 83 92 up
30.00 CONN 50 99 up
30.00 CONN 68 97 up
30.00 CONN 97 144 up
30.00 CONN 24 168 up
30.00 CONN 24 69 up
30.00 CONN 24 100 up
30.00 CONN 0 24 up
30.00 CONN 24 40 up
30.00 CONN 96 148 up
30.00 CONN 16 148 up
30.00 CONN 102 148 up
30.00 CONN 61 148 up
30.00 CONN 142 148 up
30.00 CONN 19 85 up
30.00 CONN 85 212 up
30.00 CONN 0 85 up
30.00 CONN 151 246 up
30.00 CONN 149 246 up
30.00 CONN 232 246 up
30.00 CONN 141 246 up
30.00 CONN 150 246 up
30.00 CONN 62 246 up
30.00 CONN 21 246 up
30.00 CONN 175 246 up
30.00 CONN 238 246 up
30.00 CONN 41 96 up
30.00 CONN 16 41 up
30.00 CONN 41 61 up
30.00 CONN 42 108 up
30.00 CONN 84 247 up
30.00 CONN 160 168 up
30.00 CONN 69 160 up
30.00 CONN 100 160 up
30.00 CONN 160 212 up
30.00 CONN 0 160 up
30.00 CONN 160 193 up
30.00 CONN 3 151 up
30.00 CONN 3 149 up
30.00 CONN 3 232 up
30.00 CONN 3 141 up
30.00 CONN 3 150 up
30.00 CONN 3 62 up
30.00 CONN 3 21 up
30.00 CONN 3 175 up
30.00 CONN 3 238 up
30.00 CONN 3 246 up
30.00 CONN 218 233 up
30.00 CONN 84 198 up
30.00 CONN 198 247 up
30.00 CONN 146 189 up
30.00 CONN 189 234 up
30.00 CONN 26 168 up
30.00 CONN 26 69 up
30.00 CONN 26 100 up
30.00 CONN 0 26 up
30.00 CONN 26 40 up
30.00 CONN 24 26 up
30.00 CONN 26 160 up
30.00 CONN 12 19 up
30.00 CONN 12 212 up
30.00 CONN 12 85 up
30.00 CONN 29 125 up
30.00 CONN 87 211 up
30.00 CONN 20 248 up
30.00 CONN 39 211 up
30.00 CONN 135 185 up
30.00 CONN 19 245 up
30.00 CONN 212 245 up
30.00 CONN 0 245 up
30.00 CONN 193 245 up
30.00 CONN 85 245 up
30.00 CONN 160 245 up
30.00 CONN 16 35 up
30.00 CONN 35 102 up
30.00 CONN 35 61 up
30.00 CONN 35 142 up
30.00 CONN 35 148 up
