1	18770	14615	183	21	21
2	12993	14747	18	10	10
3	17352	30267	296	-1	56
4	17512	30298	236	-1	56
5	11171	11439	133	-1	65
6	10011	10783	152	9	9
7	9412	32831	279	22	22
8	3899	16278	238	28	28
9	14254	10320	304	45	45
10	28004	10939	27	-1	87
11	34759	10704	99	-1	68
12	29834	17498	337	-1	66
13	20566	28614	95	-1	79
14	5686	26738	348	24	24
15	29987	17508	197	-1	66
16	13782	20028	255	15	15
17	41494	26393	22	-1	52
18	15845	7249	337	35	35
19	10021	10783	153	9	9
20	9954	10701	150	9	9
21	21330	12294	120	-1	69
22	43560	7675	210	46	46
23	16635	31382	339	-1	93
24	21565	13170	70	31	31
25	13500	2166	189	-1	60
26	42410	11133	303	39	39
27	22960	14979	33	-1	77
28	9342	12982	4	-1	67
29	5747	26705	327	24	24
30	17366	19376	150	41	41
31	43422	32280	332	-1	100
32	21641	13208	137	31	31
33	9601	32845	246	22	22
34	20408	25096	43	-1	88
35	12506	19621	92	-1	85
36	27969	11128	285	-1	87
37	11702	10117	288	6	6
38	5890	26704	158	24	24
39	40021	32904	312	-1	91
40	15189	15288	207	30	30
41	11009	1269	319	8	8
42	11857	3649	214	-1	75
43	17294	30322	301	-1	56
44	20473	28845	340	-1	79
45	40247	7414	139	-1	51
46	11164	11508	226	-1	65
47	28050	10944	104	-1	87
48	13725	20039	266	15	15
49	39858	4479	85	27	27
50	38803	16356	58	5	5
51	17336	19275	111	41	41
52	38274	10908	323	40	40
53	29919	14859	297	-1	96
54	21360	17880	126	17	17
55	30654	10826	319	-1	55
56	31866	6514	1	-1	80
57	17640	25799	344	-1	57
58	17308	19459	268	41	41
59	29909	17413	40	-1	66
60	6702	33354	53	1	1
61	16119	15628	35	29	29
62	1077	30611	267	-1	71
63	1104	30589	262	-1	71
64	12422	19753	346	-1	85
65	13713	12811	258	13	13
66	29694	29359	117	-1	72
67	12806	15076	66	-1	98
68	6881	33481	194	1	1
69	32467	11656	85	-1	64
70	42460	9779	227	33	33
71	30076	14900	275	-1	96
72	14254	10332	310	45	45
73	16093	7071	139	35	35
74	41948	7926	75	-1	99
75	20318	17906	310	43	43
76	36571	12591	317	-1	81
77	21462	29494	250	44	44
78	21417	13309	4	31	31
79	7327	9584	139	-1	84
80	2465	29469	340	36	36
81	43666	32319	188	-1	100
82	17541	30149	137	-1	56
83	29822	17506	334	-1	66
84	12990	14725	40	10	10
85	11167	11468	203	-1	65
86	3300	30661	302	42	42
87	25645	12437	250	19	19
88	42330	9829	231	33	33
89	36859	27488	124	-1	62
90	34832	32651	229	-1	53
91	32552	22902	134	32	32
92	15968	7160	234	35	35
93	3856	16122	87	28	28
94	14548	10059	113	45	45
95	9240	12866	57	-1	67
96	21238	12515	323	-1	69
97	13665	12619	87	13	13
98	7169	30109	274	34	34
99	23040	14906	104	-1	77
100	43611	7499	150	46	46
101	13906	19990	216	15	15
